line	standardized genome size	SE	180_RPKM	360_RPKM	RLX_osed	RLX_sari	RLX_sela	bp_in_assembly
P39	0.909	0.0227	81029	6569	4865	2586	1210	2174354502
IL14H	0.914	0.0227	37452	3364	2094	1360	729	2159951500
TIL25	0.917	0.0359	226304	5048	14888	1931	3522	
MS71	0.953	0.0227	277489	2366	16786	943	3711	2250948526
OH7B	0.958	0.0236	197284	8281	14991	3073	3461	2200835321
HP301	0.96	0.0227	103976	2211	6007	890	1437	2176636646
OH43	0.966	0.0236	275859	7196	15308	2877	3784	2212770781
TIL05	0.97	0.0272	286963	21587	15367	8770	3653	
M162W	0.973	0.0244	181963	5101	11155	1994	2478	2220734754
TIL08	0.976	0.0272	315785	7922	17213	3173	4140	
MO17	0.98	0.0227	52615	2845	2912	1150	973	
NC358	0.988	0.0227	343944	12632	22234	4859	4555	2264544034
B97	0.993	0.0227	248802	3986	17113	1546	4017	2229671949
KY21	0.994	0.0236	133916	5606	8268	2192	1833	2207846220
B73	1	0.0227	146775	3687	7898	1503	1947	2209352278
CML322	1.002	0.0227	450196	12711	28025	4919	6417	2256237347
CML103	1.004	0.0227	100527	16527	6204	6408	1500	2198483640
MO18W	1.012	0.0227	316409	9852	19086	3847	4120	2260287032
M37W	1.013	0.0227	248132	2404	14880	964	3330	2228943732
TIL16	1.014	0.0272	551840	12233	30239	4837	7090	
CML52	1.014	0.0227	348534	27473	18315	10651	4266	2346148492
CML277	1.016	0.0227	307780	13870	18813	5454	4584	2227310816
TX303	1.02	0.0227	339732	11972	23760	4590	5827	2252740254
TZI8	1.02	0.0236	221323	21397	12215	8408	2862	2308876477
Ki3	1.021	0.0227	425173	19549	23273	7708	5553	2252786733
CML247	1.022	0.0227	243876	17145	13313	7173	3682	2251665920
CML228	1.028	0.0227	257974	22475	16135	8676	3676	2339118370
Ki11	1.035	0.0227	210370	20969	11674	8253	2626	2311740739
NC350	1.041	0.0227	294074	17637	18954	6747	3833	2328679631
CML333	1.044	0.0227	373177	23971	21400	9435	4894	2268446825
TIL14	1.055	0.0359	365845	18893	21179	7248	5177	
TIL15	1.068	0.0359	642835	7546	35412	2990	8484	
TIL11	1.074	0.0272	271346	45984	14983	18122	3519	
TIL06	1.08	0.0157	308975	10571	20378	5309	5851	
CML69	1.086	0.0236	447922	25823	24440	10434	5803	2261980569
TIL03	1.112	0.0272	563386	7501	33999	2962	7571	
TIL02	1.148	0.0359	787306	17525	48284	6788	11157	
TIL01	1.166	0.0359	627763	46782	47306	17371	11048	
