<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
Z001E0004/PHZ51	-0.020189237	-0.011194638	-0.013158808	0.022520002	0.01096946
Z001E0009/PHZ51	-0.016073462	0.012839172	0.013564314	-0.010126128	0.0078798905
Z001E0014/PHZ51	-0.005257349	0.02609318	7.779468E-4	0.010197757	0.006313823
Z001E0015/PHZ51	-0.006323579	0.017638577	0.0027187248	0.027810253	0.0090534305
Z001E0018/PHZ51	-0.018147595	-0.017446656	0.009391703	0.015103481	0.017123777
Z001E0020/PHZ51	-0.01826504	1.6961663E-4	0.0036861901	-0.01056538	0.007912827
Z001E0023/PHZ51	-0.022252424	9.3880924E-4	0.0030428327	-0.014406526	0.014245907
Z001E0028/PHZ51	-0.015171314	0.004210524	-0.023979953	-0.006291046	-1.3667693E-4
Z001E0030/PHZ51	-0.011719696	0.0073641525	-0.016012223	-0.0011125635	0.023551049
Z001E0034/PHZ51	-0.021315807	0.0059315898	0.0025082529	-0.01878983	-0.010654319
Z001E0037/PHZ51	-0.011555454	0.015538228	0.016543115	-0.002117135	0.007364813
Z001E0038/PHZ51	-0.008762608	0.02175005	-0.0019064608	0.00636951	0.008657245
Z001E0043/PHZ51	-0.011784179	0.0033951614	0.0074726143	0.023030961	0.0040195337
Z001E0055/PHZ51	-0.011767239	0.017154504	0.0165653	-0.0042214007	-0.0039212517
Z001E0062/PHZ51	-0.018373005	0.0100936545	0.010078572	-0.008721704	-0.018628981
Z001E0063/PHZ51	-0.018290907	0.0011742476	0.012741979	0.0074958703	-0.016591135
Z001E0068/PHZ51	-0.010062252	0.028391182	-0.0010905807	0.0024247987	0.0054994132
Z001E0069/PHZ51	-0.015531445	-0.0102772815	-0.01955391	0.017762369	-0.005148986
Z001E0070/PHZ51	-0.011696008	0.02749976	-0.0031826505	0.0065363627	-0.0019734856
Z001E0075/PHZ51	-0.011961442	-0.014781063	-0.014821276	0.022942297	-0.0049995123
Z001E0076/PHZ51	-0.012247133	0.020953093	0.016152162	-0.003752449	0.006224898
Z001E0080/PHZ51	-0.006983553	0.021736205	-0.008726697	9.331873E-4	-0.012636394
Z001E0081/PHZ51	-0.015869567	0.0042302143	-0.023607071	-0.01034725	-7.3968293E-4
Z001E0086/PHZ51	-0.0043196254	0.010050057	0.003683412	0.030207112	0.007848641
Z001E0087/PHZ51	-0.014429298	0.019558694	0.015137333	-0.00893341	0.007599218
Z001E0088/PHZ51	-0.019259641	-0.010802819	-0.018272009	0.017216908	-0.016575573
Z001E0090/PHZ51	-0.012871447	0.015333463	0.012576637	-0.00798063	-0.012453282
Z001E0092/PHZ51	-0.018728627	-0.013206065	-0.021842247	0.021088382	-0.008767216
Z001E0093/PHZ51	-0.022704223	-0.005639176	-9.450243E-4	-0.009231051	-0.0031231337
Z001E0094/PHZ51	-0.018974157	0.0027607605	-0.027704619	-0.007894055	-0.0064752772
Z001E0097/PHZ51	-0.015486607	0.008616897	0.0051794522	-0.0035906038	-0.0011721558
Z001E0099/PHZ51	-0.01708554	-0.011513932	0.002614059	-0.0064413585	-0.0046013324
Z001E0102/PHZ51	-0.013975927	0.0028971315	0.00674883	0.015854698	-0.015971243
Z001E0104/PHZ51	-0.014084427	0.006872327	-0.01490654	-0.006405578	0.021160232
Z001E0109/PHZ51	-0.021687651	-0.00825295	0.015387215	0.013003265	0.01115379
Z001E0112/PHZ51	-0.023411548	-0.0141947875	1.0587471E-4	0.017448625	0.010837703
Z001E0113/PHZ51	-0.027520072	-0.016633559	0.0040538926	0.011742348	0.00928299
Z001E0115/PHZ51	-0.014283918	0.007152225	0.012080497	-0.0061587705	0.008531602
Z001E0116/PHZ51	-0.012908998	0.02619023	-0.002537875	0.0056647477	0.0018277218
Z001E0120/PHZ51	-0.014789785	0.017106961	0.0091694025	-0.012408357	-0.01502481
Z001E0121/PHZ51	-0.013962512	0.01787471	0.01757075	-0.0028500997	0.0075144665
Z001E0126/PHZ51	-0.013387897	0.00517173	-0.005573879	-0.0017078868	0.011098526
Z001E0129/PHZ51	-0.018578961	0.011248391	-0.01853858	-0.0016146462	0.0101488745
Z001E0130/PHZ51	-0.011696756	0.002679931	0.019240899	0.016070582	-0.017911766
Z001E0138/PHZ51	-0.013106987	-0.005702147	-0.010025064	0.028310722	0.0046517705
Z001E0139/PHZ51	-0.009657326	0.0057904227	0.019106477	0.02277129	0.014001857
Z001E0140/PHZ51	-0.0114332875	0.013476192	0.014360602	-0.0055825016	-0.01609435
Z001E0143/PHZ51	-0.017899586	-0.0089067845	-0.020739257	0.010063052	-0.0040428415
Z001E0145/PHZ51	-0.021041917	-0.016896524	5.9070875E-4	0.0071131694	-0.008310165
Z001E0150/PHZ51	-0.021464527	-0.014226514	-0.010120959	0.013947205	-0.009687012
Z001E0151/PHZ51	-0.012438455	-0.008346611	-0.012008892	0.02340113	-0.00686254
Z001E0152/PHZ51	-0.014790437	0.00616255	0.011284819	-0.00421504	-0.015238362
Z001E0156/PHZ51	-0.0076853433	0.019419035	4.4532144E-4	0.021985434	0.0029853699
Z001E0157/PHZ51	-0.016822504	0.013393547	-0.01994256	4.503054E-4	0.004880239
Z001E0159/PHZ51	-0.005100483	0.026094032	-0.0053599565	0.0058679343	-0.016850755
Z001E0162/PHZ51	-0.02197402	-0.021394653	0.0050248844	0.0130771855	-0.007971262
Z001E0166/PHZ51	-0.019104691	0.004383498	-0.025387587	-0.007085866	-0.001400059
Z001E0167/PHZ51	-0.017564176	4.315838E-4	-0.00820711	0.0028905675	-0.0065274592
Z001E0170/PHZ51	-0.014041302	-0.01172152	-0.013119615	0.025059149	-0.0068268175
Z001E0172/PHZ51	-0.0058448166	0.028974142	-0.0015094168	0.009197279	0.0155363465
Z001E0174/PHZ51	-0.011168527	0.011406407	0.00932935	-0.009506012	-0.009929506
Z001E0178/PHZ51	-0.022361135	-0.015196939	0.009326849	0.011373599	0.009756501
Z001E0181/PHZ51	-0.0111515345	0.020338703	0.012831632	-0.0060808836	0.0024278848
Z001E0183/PHZ51	-0.012719976	0.009848918	-0.018451279	-0.0027761848	0.021642026
Z001E0184/PHZ51	-0.010997442	0.017449556	0.021056782	-0.0049800123	0.008889574
Z001E0194/PHZ51	-0.019405516	8.650726E-4	-0.02516275	-0.0037091763	-0.010091482
Z002E0004/PHZ51	-0.011643723	-0.006470605	0.001445832	-0.017432747	0.011848385
Z002E0007/PHZ51	-0.01087497	-0.0076516047	-0.005992338	-0.018310225	-0.014466855
Z002E0008/PHZ51	0.0048026997	0.01325618	-0.02079956	-0.0017573832	-0.017655015
Z002E0009/PHZ51	-0.0012854261	0.011749124	0.016432438	-0.011632828	0.004987477
Z002E0010/PHZ51	0.0011665456	-0.013035539	0.016187936	0.0065304586	-0.015900774
Z002E0013/PHZ51	-0.0048403903	-0.014361364	0.0027027002	-0.012548725	0.021480849
Z002E0014/PHZ51	0.0021662898	-0.0038548075	-0.01690072	0.015966713	0.016084522
Z002E0017/PHZ51	0.0014741938	-3.7122727E-4	0.011549166	-0.0047005657	-0.01613848
Z002E0019/PHZ51	-0.005436083	0.009919072	0.007203652	-0.008757103	-0.024190862
Z002E0020/PHZ51	-0.0021277068	-0.013427422	-0.02252886	0.01654107	0.010951695
Z002E0022/PHZ51	-0.004099951	0.005691106	0.006797979	-0.013012495	-0.023163224
Z002E0023/PHZ51	-0.0036995318	4.7927452E-4	0.0063461936	-0.0039244546	-0.022071756
Z002E0028/PHZ51	0.025000906	-8.643319E-4	-0.008905732	0.013542952	0.0031870978
Z002E0030/PHZ51	0.0030346855	-0.031031279	8.464067E-5	-0.0063694236	-0.001227753
Z002E0032/PHZ51	0.0022286766	-0.019593148	-0.026986174	0.010642788	-0.002362364
Z002E0033/PHZ51	0.0041846316	-0.008058518	0.014231017	0.006746951	-0.012450635
Z002E0034/PHZ51	0.00978866	-0.016731463	-0.020001987	0.017922074	-0.011925946
Z002E0036/PHZ51	0.0055887327	0.007813461	-0.0039181015	0.027558835	0.0024685685
Z002E0040/PHZ51	0.006248722	-0.010078253	-0.019493204	-0.0070625325	-0.003907365
Z002E0043/PHZ51	0.0013473505	0.0036732226	0.01121863	-0.009027601	-0.018309977
Z002E0047/PHZ51	-0.010558705	-0.0066626896	-0.0027927863	-0.019239252	0.0073060286
Z002E0048/PHZ51	0.0063103386	-0.015454734	-0.01763144	0.021376418	0.017010963
Z002E0050/PHZ51	0.017046845	-0.02749659	-0.026180167	0.008894975	0.0050520427
Z002E0055/PHZ51	0.02145378	0.0032746904	-0.00529682	0.020809587	0.01950908
Z002E0059/PHZ51	-0.001485413	-0.003233935	0.021357514	0.01597633	0.006749047
Z002E0062/PHZ51	0.015152765	-0.0010523605	-0.02430956	-0.0014617208	-0.0034101622
Z002E0066/PHZ51	1.5608915E-4	0.014475008	0.01780357	-0.00657941	4.519981E-4
Z002E0070/PHZ51	0.008081784	0.0063308952	-0.01607681	0.013449812	-0.022768533
Z002E0071/PHZ51	-0.0049778093	-0.012335606	-0.027728198	0.016810345	-0.016102307
Z002E0072/PHZ51	0.010472252	0.018578341	-0.008114765	0.0022306982	0.007896768
Z002E0073/PHZ51	0.011354924	-0.024040433	-0.023544692	0.018157365	-0.0040807878
Z002E0075/PHZ51	-0.0031954495	-0.03417043	-0.0017740452	-0.0064544277	-0.0023741743
Z002E0079/PHZ51	0.0048760064	-0.032123238	7.457962E-4	-0.0053726304	0.0049005914
Z002E0080/PHZ51	-0.0040924205	0.008541397	0.0054777167	-0.012233093	-0.017447235
Z002E0083/PHZ51	0.010614553	-0.015820714	-0.030366808	-0.004169128	0.0016287465
Z002E0091/PHZ51	1.3177925E-4	-0.008507652	3.9856575E-4	-0.020230656	0.025365697
Z002E0097/PHZ51	0.002961526	-0.029958414	0.004022397	0.001620745	0.018638978
Z002E0100/PHZ51	0.0070498316	-4.4462015E-4	-0.023017487	-0.009888793	0.024978545
Z002E0101/PHZ51	0.008673324	-0.014674881	-0.016701806	0.020991266	0.024485849
Z002E0102/PHZ51	0.004380944	-0.010195396	-0.02850878	-0.013725958	0.0051294994
Z002E0103/PHZ51	-6.241626E-4	0.001743843	-0.026084593	-0.007759913	0.016436366
Z002E0105/PHZ51	0.0011954163	-0.007637336	0.019272735	0.011262257	-0.0077674794
Z002E0107/PHZ51	0.0050059888	-0.017476663	-0.024590546	0.021246688	-0.01084929
Z002E0108/PHZ51	0.0052711824	-0.017427959	-0.025972046	0.020803789	0.0040608803
Z002E0109/PHZ51	-0.013383242	-0.01582195	0.0041746446	0.005649244	0.0063579697
Z002E0111/PHZ51	0.0030105407	0.0045421333	-0.011075157	-0.0074648797	-0.01849923
