<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
Z001E0004/PHZ51	-0.024228647	-0.00992276	-0.01854814	0.022944886	0.0054852003
Z001E0009/PHZ51	-0.021573797	0.015511434	0.006503601	-0.008872064	0.011941537
Z001E0014/PHZ51	-0.0072680246	0.0268597	-0.006540265	0.00970326	0.007891478
Z001E0015/PHZ51	-0.007936507	0.01923791	-0.0032408196	0.028839152	0.0039361687
Z001E0018/PHZ51	-0.024116457	-0.01403168	0.007417771	0.019476827	0.011436327
Z001E0020/PHZ51	-0.020778311	0.0033015157	9.4630086E-4	-0.007079764	0.012249584
Z001E0023/PHZ51	-0.026101923	0.00315155	-0.0011791287	-0.010327329	0.01885945
Z001E0028/PHZ51	-0.0123078665	0.0035124912	-0.026092608	-0.0048729237	0.0048323283
Z001E0030/PHZ51	-0.011583755	0.005139276	-0.018629666	0.004614395	0.02653103
Z001E0034/PHZ51	-0.024167756	0.00937477	-0.0034977503	-0.020319454	-0.003606184
Z001E0037/PHZ51	-0.014760351	0.019223021	0.01149918	2.4577917E-4	0.010177151
Z001E0038/PHZ51	-0.012112222	0.021623053	-0.009642009	0.006009323	0.009828467
Z001E0043/PHZ51	-0.01613598	0.006609509	0.0017216889	0.022617321	-0.0019737484
Z001E0055/PHZ51	-0.014831139	0.02189851	0.0107127605	-0.004435946	-1.9243918E-4
Z001E0062/PHZ51	-0.021643836	0.01581143	0.0030223303	-0.012209318	-0.013761516
Z001E0063/PHZ51	-0.023539416	0.0066803168	0.0060888305	0.0031374057	-0.018424481
Z001E0068/PHZ51	-0.010624661	0.028691601	-0.007622486	0.0023551479	0.0076489886
Z001E0069/PHZ51	-0.016559366	-0.009169814	-0.023706516	0.0159489	-0.00748633
Z001E0070/PHZ51	-0.013484435	0.028881434	-0.013228693	0.0035312842	4.301574E-4
Z001E0075/PHZ51	-0.015413627	-0.013694133	-0.018874168	0.020428702	-0.008849441
Z001E0076/PHZ51	-0.015781784	0.024337221	0.010326527	-0.0022889273	0.009097294
Z001E0080/PHZ51	-0.0072131255	0.022272265	-0.015724067	-0.0032059918	-0.0076564336
Z001E0081/PHZ51	-0.015739717	0.0030654415	-0.028006721	-0.010513436	0.005693794
Z001E0086/PHZ51	-0.008768034	0.011325868	-0.0026193038	0.029628858	0.0019578715
Z001E0087/PHZ51	-0.017692514	0.022378664	0.009944997	-0.0067814765	0.010829843
Z001E0088/PHZ51	-0.020839902	-0.008424659	-0.023935761	0.011592835	-0.01957046
Z001E0090/PHZ51	-0.016214814	0.019509247	0.0059481724	-0.010557397	-0.0073742857
Z001E0092/PHZ51	-0.020348119	-0.011762483	-0.025603566	0.01770949	-0.013170372
Z001E0093/PHZ51	-0.025855865	-0.0022803843	-0.0048816144	-0.009143368	-7.587536E-5
Z001E0094/PHZ51	-0.016931128	0.0019100913	-0.031359334	-0.0091099	-0.0018090856
Z001E0097/PHZ51	-0.019793114	0.011490762	-0.0023276585	-0.00467812	0.0017183152
