pheno	geno	intercept	gsEffect	r2	pval
DTS	genomesize	-108.611783734723	9.62964058656627e-08	0.105634328534961	9.93704815856629e-40
PH	genomesize	9.26861796954969	1.2774874616241e-07	0.00451580845185253	0.00786973989550232
GY	genomesize	9.47654157505709	7.42016194532154e-09	0.00336027923835536	0.0270806904727762
GYraw	genomesize	34.0510972868543	-1.47945286651225e-08	0.0142966414773419	4.62228928230844e-06
DTS	tebp	28.1734878438407	2.66442945260951e-08	0.0186263215365153	6.19031093071979e-08
PH	tebp	131.022511359327	7.28906928636536e-08	0.00338856352846921	0.0213642281494648
GY	tebp	32.3032143725426	-5.67188127528466e-09	0.00452163236598252	0.0103244888788805
GYraw	tebp	22.4865862402055	-1.00382127118135e-08	0.0153418595846922	2.06448938368009e-06
DTS	nontebp	64.0843549852928	2.39185710896043e-08	0.00951709907149563	0.000113156742042066
PH	nontebp	254.39770276097	-2.75852010568103e-08	0.000307271617692033	0.488616668075009
GY	nontebp	19.2596954276611	1.48757372222618e-08	0.0185956499330537	1.79171263313898e-07
GYraw	nontebp	4.86175707258089	6.1422892083402e-09	0.00345199928356844	0.0247685787966724
DTS	dhhbp	89.2928627665413	-5.14161010898942e-07	0.00889426758408292	0.000190379396443319
PH	dhhbp	367.757125596149	-3.31366699180631e-06	0.00898781961609933	0.000174369190894142
GY	dhhbp	36.5073662704203	-3.62783320311816e-07	0.0236849333584026	3.66806299994661e-09
GYraw	dhhbp	9.43987037212998	-8.00185723648802e-08	0.00126113548513341	0.175037098322697
DTS	dtabp	59.8351733460158	3.90258648875558e-07	0.000838864033258471	0.252771895169188
PH	dtabp	71.13625554428	6.40498069861002e-06	0.00548736844349854	0.00338641848685977
GY	dtabp	29.4852810254954	-2.25955943409438e-07	0.00152863885486965	0.136187435276862
GYraw	dtabp	8.11774702441246	-5.80994114756365e-08	0.000110113704802518	0.688696989490686
DTS	dtcbp	73.2644846616446	-4.27681188987768e-08	0.000115749816835155	0.671024098550594
PH	dtcbp	147.298756205806	1.56833775467613e-06	0.00377774252222099	0.0150865579623831
GY	dtcbp	40.3686904900301	-2.68932312445121e-07	0.0250167951136741	1.32659067367765e-09
GYraw	dtcbp	14.2488544274977	-1.21612217437058e-07	0.00555421971170604	0.004383170218206
DTS	dthbp	73.1704129308738	-1.30610916551744e-07	5.45906442037541e-05	0.770525242055734
