pheno	geno	nam	intercept	gsEffect	r2	pval
DTS	genomesize	B97	41.2765254591752	1.46986922653362e-08	0.0104236568457172	0.414659536011004
PH	genomesize	B97	116.882352599671	7.17169360130036e-08	0.00120003325591681	0.78244471841858
GY	genomesize	B97	18.8353721385782	2.33502757024234e-09	0.000371762736462534	0.877876119378286
GYraw	genomesize	B97	11.1843272611989	-2.03375251080408e-09	0.000410270609799293	0.871757913052074
DTS	genomesize	CML103	11.0442558703657	3.17451156113039e-08	0.0181305891402845	0.277314576945403
PH	genomesize	CML103	448.692721472427	-1.08381636254817e-07	0.00333163569481178	0.642678475901652
GY	genomesize	CML103	45.2091317357443	-1.18458715082598e-08	0.00482946350209287	0.576293377225908
GYraw	genomesize	CML103	17.5081533273143	-5.88420726098288e-09	0.00203792808208787	0.716794686812456
DTS	genomesize	CML228	32.2255782007906	2.12112747153643e-08	0.00399263437928984	0.585104947342824
PH	genomesize	CML228	86.3008055820388	8.70894984705093e-08	0.00138456434852679	0.747994573434874
GY	genomesize	CML228	35.0761648794037	-6.14952171024313e-09	0.00147350112552393	0.74886578613981
GYraw	genomesize	CML228	1.03166309175226	3.03146350357515e-09	0.000365615575423668	0.87333586859282
DTS	genomesize	CML247	-109.930493764051	9.76368612105709e-08	0.102375500624851	0.00614623876766163
PH	genomesize	CML247	142.241565300476	5.36921768979942e-08	0.000446545783731643	0.860145214629074
GY	genomesize	CML247	116.183070945101	-4.99349163113592e-08	0.0822846577182141	0.0160575829193325
GYraw	genomesize	CML247	94.7753153879549	-4.76316890311867e-08	0.0921056574029644	0.010649370129533
DTS	genomesize	CML277	25.9069934185415	2.48497722973949e-08	0.00344628896654157	0.642280138648796
PH	genomesize	CML277	-325.545257871775	3.07705580299246e-07	0.0130018358423496	0.365772299597098
GY	genomesize	CML277	37.4800139397987	-7.54885588286009e-09	0.0025860648883267	0.692245523874282
GYraw	genomesize	CML277	35.8846605775878	-1.58674027179958e-08	0.0104445514801149	0.425438010532968
DTS	genomesize	CML322	51.4909563718222	1.01993342839979e-08	0.00179826311194325	0.72167338362273
PH	genomesize	CML322	765.832234279948	-2.75471961823275e-07	0.0224772800383965	0.205508158827484
GY	genomesize	CML322	29.1384110207481	-3.0296125343444e-09	0.000544329247722078	0.845760398044328
GYraw	genomesize	CML322	25.4931536426913	-1.00057799611196e-08	0.0069182115115799	0.487291601848388
DTS	genomesize	CML333	-6.83539308414983	4.21714284735868e-08	0.0509596408404577	0.0683786675285389
PH	genomesize	CML333	187.790129791852	3.33892728255027e-08	0.000514068852540573	0.856602410303231
GY	genomesize	CML333	31.8056444969271	-4.50814123771833e-09	0.00178350317299155	0.738361291219395
GYraw	genomesize	CML333	21.3914505945361	-8.19975017300101e-09	0.00552158628556643	0.556347560221717
DTS	genomesize	CML52	-111.288242607037	9.87974436065074e-08	0.103266733633591	0.0115605958363865
PH	genomesize	CML52	1014.2916324035	-4.08927867784598e-07	0.0354831108327929	0.14259380735481
GY	genomesize	CML52	4.39430772773751	1.01304065391894e-08	0.00454243776967851	0.612020372007937
GYraw	genomesize	CML52	3.58343276685624	1.27912369208306e-09	7.56350124714752e-05	0.946963434354403
DTS	genomesize	CML69	81.1753965446656	-5.16133797159807e-09	0.000471975952245326	0.86147183434764
PH	genomesize	CML69	544.985051691685	-1.59070751586794e-07	0.00362832307748499	0.628236327283709
GY	genomesize	CML69	33.9092875854437	-5.30180896260572e-09	0.00127495755920863	0.779391790732443
GYraw	genomesize	CML69	27.41734019202	-1.14947656957234e-08	0.00778395740552953	0.484633477590584
DTS	genomesize	Il14H	-12.8408720880672	4.37557300881762e-08	0.028177121155711	0.26481281505416
PH	genomesize	Il14H	-58.243437532374	1.65555955626228e-07	0.00496320669903692	0.641756430315545
GY	genomesize	Il14H	18.444005515144	2.28595129089391e-09	6.75949402670598e-05	0.969585745198268
GYraw	genomesize	Il14H	1.3159424913035	2.99964240240151e-09	0.000128572734971567	0.958062139541171
DTS	genomesize	Ki11	-53.2719564223985	6.75835963537396e-08	0.0320830366593496	0.199384339414508
PH	genomesize	Ki11	281.868667392946	-1.45606173323876e-08	5.0378386513576e-05	0.959770941734135
GY	genomesize	Ki11	18.1727475362882	2.50197317407681e-09	0.00031999500224367	0.899835324449883
GYraw	genomesize	Ki11	48.4028694618962	-2.29080270131974e-08	0.0204874727652209	0.311399047724896
DTS	genomesize	Ki3	-107.023959629649	9.54855337655703e-08	0.108398024131516	0.00417904363980887
PH	genomesize	Ki3	449.431609058873	-1.1393190901911e-07	0.00230747645581398	0.684431990565191
GY	genomesize	Ki3	47.8551147832616	-1.2980373235199e-08	0.00592251802249758	0.529666682148486
GYraw	genomesize	Ki3	30.366110929828	-1.26476871722211e-08	0.00503224245389388	0.562438584015646
DTS	genomesize	Ky21	64.9722224469249	3.14798898889587e-09	0.000130369718587541	0.925258158471893
PH	genomesize	Ky21	34.2248805754696	1.17814855494437e-07	0.0028565666134759	0.660349099310084
GY	genomesize	Ky21	22.5728897163248	3.08304113333567e-10	2.89408093625321e-06	0.990071791776185
GYraw	genomesize	Ky21	23.533007916477	-9.08625197552671e-09	0.00473075194422627	0.611187322135075
DTS	genomesize	M162W	95.7665738217983	-1.37840735418887e-08	0.00608345370420792	0.530415993557917
PH	genomesize	M162W	189.20887643685	2.88665196997551e-08	0.000338015117231812	0.882603498383115
GY	genomesize	M162W	54.6412146327758	-1.67845487755767e-08	0.0273089664778969	0.181412771426245
GYraw	genomesize	M162W	23.9746325245427	-9.25308464521408e-09	0.00817280093314218	0.470362534913029
DTS	genomesize	M37W	30.8518083902458	2.17498855031756e-08	0.0104208834417868	0.407468867222143
PH	genomesize	M37W	241.588150770981	8.54800258950488e-09	1.46819849293631e-05	0.975260471728033
GY	genomesize	M37W	97.9395320786528	-3.99549075507584e-08	0.102239854988851	0.0083483989140138
GYraw	genomesize	M37W	76.4040957836403	-3.73643765086646e-08	0.0800052964426681	0.0203813004303154
DTS	genomesize	Mo18W	-17.1763169046608	4.78969679474527e-08	0.0723535883496388	0.0345127856383231
