pheno	geno	intercept	gsEffect	r2	pval
DTA_BLUP.Buckler_2009_nam	genomesize	-276.49484602058	1.90133434222144e-07	0.134361873711896	5.81144238266078e-144
DTS_BLUP.Buckler_2009_nam	genomesize	-305.729296643624	2.06819934636553e-07	0.131545287987568	9.12216145625839e-141
ASI_BLUP.Buckler_2009_nam	genomesize	-10.3733485197922	6.51739486754196e-09	0.00223225284349589	0.00147556368764084
ALL_rind_penetrometer_resistance_BLUE.Peiffer_2013_nam	genomesize	-33.008835119655	2.05816216822929e-08	0.0432140136972912	3.19468676053491e-33
ALL_rind_penetrometer_resistance_BLUP.Peiffer_2013_nam	genomesize	-20.0259302360569	1.36051579259245e-08	0.0927958104303741	4.1058257107245e-71
MO_rind_penetrometer_resistance_BLUE.Peiffer_2013_nam	genomesize	-0.754922816058171	2.78159054574929e-09	0.000294940737888461	0.263666002904388
MO_rind_penetrometer_resistance_BLUP.Peiffer_2013_nam	genomesize	8.95241792477054	-2.06293260677748e-09	0.000548145404916889	0.127530806357061
NY_rind_penetrometer_resistance_BLUE.Peiffer_2013_nam	genomesize	-1.72391134245874	4.16915669341518e-09	0.000894532928099356	0.0498388960006875
NY_rind_penetrometer_resistance_BLUP.Peiffer_2013_nam	genomesize	2.56976819413858	1.86840502561442e-09	0.000577260461326344	0.11515056927824
WI_rind_penetrometer_resistance_BLUE.Peiffer_2013_nam	genomesize	-44.6376098321953	2.7290310776701e-08	0.0181758659676419	9.61821424346458e-15
WI_rind_penetrometer_resistance_BLUP.Peiffer_2013_nam	genomesize	-8.37977830909837	8.054970242565e-09	0.0352745244868676	2.33062117892938e-27
ALL_DTA_BLUE.Peiffer_2013_nam	genomesize	-186.530439862825	1.41238391440544e-07	0.0989849106918595	5.57280380715759e-76
ALL_DTA_BLUP.Peiffer_2013_nam	genomesize	-184.442197038642	1.40130780854277e-07	0.102416806630008	1.07916986774892e-78
ALL_ear_height_BLUE.Peiffer_2013_nam	genomesize	-821.967993007877	4.88328855042482e-07	0.0488631770897067	1.90376980330136e-37
ALL_ear_height_BLUP.Peiffer_2013_nam	genomesize	-824.903000075198	4.8989368386694e-07	0.0518333060707874	1.12080013819232e-39
DTS_BLUP.Hung_2012_1_nam	genomesize	-305.91922192613	2.06924159690927e-07	0.131765275870014	6.35400759875267e-141
DTA_BLUP.Hung_2012_1_nam	genomesize	-276.060172616553	1.89907109043386e-07	0.135064929089662	1.14718202330141e-144
asi_BLUP.Hung_2012_1_nam	genomesize	-8.79580467389068	5.66172480807385e-09	0.00180798034637158	0.00423460623973544
plantheight_BLUP.Hung_2012_1_nam	genomesize	-515.988487828773	3.63132092564788e-07	0.0263242626649481	4.6910804002279e-28
earheight_BLUP.Hung_2012_1_nam	genomesize	-812.751719290099	4.80212141677576e-07	0.0700612147938536	2.19471669196452e-73
leaflength_BLUP.Hung_2012_1_nam	genomesize	-3527.28197565097	2.30597594193883e-06	0.0682677028294988	1.79447339458667e-71
leafwidth_BLUP.Hung_2012_1_nam	genomesize	-572.567215796883	3.56673558775679e-07	0.0702653195404126	1.38396441711805e-73
tassprimbranchno_BLUP.Hung_2012_1_nam	genomesize	-110.184328279036	6.43622352082436e-08	0.0215575707996976	3.29456512622534e-23
tasslength_BLUP.Hung_2012_1_nam	genomesize	-317.526832253945	3.46147691909111e-07	0.00453606626144598	5.8173055684068e-06
upperleafangle_BLUP.Hung_2012_1_nam	genomesize	-126.354554949063	1.04180058429396e-07	0.0100107884741573	1.58071261709841e-11
cobdiam_BLUP.Hung_2012_1_nam	genomesize	-30.7942495968097	3.07852404849827e-08	0.0112265659373473	9.43785787995348e-13
coblength_BLUP.Hung_2012_1_nam	genomesize	-11.3399250248093	7.49572053888485e-08	0.00185128223212856	0.0038127286412397
earrowno_BLUP.Hung_2012_1_nam	genomesize	61.3731944145601	-2.51588157964922e-08	0.0153054574289474	7.1513903756092e-17
kernelnoperrow_BLUP.Hung_2012_1_nam	genomesize	0.673531414145223	1.17861385434564e-08	0.0011903509105216	0.0204592651575294
