Tester,GBS,Hybrid_pheno_name
B47,33-16:250047984,33-16xB47
B47,38-11:250040073,38-11xB47
B47,A239:250047930,A239xB47
B47,A554:250047963,A554xB47
B47,A619:250047940,A619xB47
B47,A632:250047950,A632xB47
B47,A634:250040129,A634xB47
B47,A635:250040198,A635xB47
B47,A641:250040046,A641xB47
B47,A659:250039829,A659xB47
B47,A679:250040001,A679xB47
B47,A680:250047931,A680xB47
B47,A682:250047957,A682xB47
B47,B103:250040806,B103xB47
B47,B104:250047938,B104xB47
B47,B105:250040023,B105xB47
B47,B109:250039749,B109xB47
B47,B115:250040029,B115xB47
B47,B14A:250040044,B14AxB47
B47,B37:250040081,B37xB47
B47,B46:250040209,B46xB47
B47,B57:250040068,B57xB47
B47,B68:250040182,B68xB47
B47,B73:250040827,B73xB47
B47,B75:250040146,B75xB47
B47,B76:250047994,B76xB47
B47,B77:250047998,B77xB47
B47,B79:250040167,B79xB47
B47,B97:250040809,B97xB47
B47,CML247:250040838,CML247xB47
B47,CML277:250040807,CML277xB47
B47,CML52:250040810,CML52xB47
B47,DE811:250040133,DE811xB47
B47,EA2000:250001436,EA2000xB47
B47,EA2024:250001473,EA2024xB47
B47,EA2841:250001456,EA2841xB47
B47,EP10:250001483,EP10xB47
B47,EP2008-03:250001485,EP2008-03xB47
B47,EP2008-05:250001510,EP2008-05xB47
B47,EP31:250001512,EP31xB47
B47,EP32:250001429,EP32xB47
B47,EP37:250001437,EP37xB47
B47,EP39:250040841,EP39xB47
B47,EP42:250040839,EP42xB47
B47,EP44:250001513,EP44xB47
B47,EP47:250001446,EP47xB47
B47,EP51:250001441,EP51xB47
B47,EP52:250001452,EP52xB47
B47,EP64:250001478,EP64xB47
B47,EP71:250001439,EP71xB47
B47,EP73:250001447,EP73xB47
B47,H105W:250040018,H105WxB47
B47,H84:250040171,H84xB47
B47,H99:250040040,H99xB47
B47,I205:250040145,I205xB47
B47,M14:250047977,M14xB47
B47,Mo17:250040833,Mo17xB47
B47,Mo18W:250040814,Mo18WxB47
B47,Mo45:250040213,Mo45xB47
B47,Mo46:250040028,Mo46xB47
B47,Mo47:250040136,Mo47xB47
B47,Mp339:250040217,Mp339xB47
B47,N192:250040210,N192xB47
B47,N7A:250040820,N7AxB47
B47,NC250:250047923,NC250xB47
B47,NC262:250047948,NC262xB47
B47,NC264:250040075,NC264xB47
B47,Oh603:250047972,Oh603xB47
B47,Ames12727:250035100,NC83xB47
B47,Ames12815:250031896,89S4098xB47
B47,Ames12820:250033583,89S4127xB47
B47,Ames12822:250033599,89S4154xB47
B47,Ames14113:250032833,Va12CxB47
B47,Ames14114:250032791,Va14AxB47
B47,Ames14115:250034754,Va35CxB47
B47,Ames14116:250033794,Va36AxB47
