"genotype","DTS","PH","GY"
"Ames23922:250031916/B47",63.8535983483449,218.304147703623,11.152507772412
"Ames26801:250033801/B47",66.2858759440056,204.581555114734,11.7658352777615
"PI601361:250041480/B47",64.3226247324874,222.951925481401,12.6481568281347
"PI601792:250035083/B47",65.0566442668256,206.860073625845,12.4207593328881
"Ames24748:250032522/B47",64.6246199236602,213.655258814734,11.0665737221708
"PI524970:250032455/B47",64.5819155157,209.369332892512,11.3783005936143
"PI601209:250031398/B47",64.1161603893235,212.091555114734,12.5874648604574
"PI601496:250031877/B47",64.1696158931367,211.877851403623,11.5885154468424
"PI601574:250035000/B47",65.0964500977363,203.924147703623,12.4211780781294
"NSL197104:250031583/B47",64.2684912195465,201.09081437029,11.6320535371255
"PI601782:250033466/B47",63.8359586571443,206.035629181401,11.6146027314855
"Ames24749:250034839/B47",67.873874715184,221.052894633374,10.180792640102
"PI550442:250032831/B47",65.3113329096256,196.730073625845,12.3631129357872
"PI607384:250031128/B47",64.858121443709,212.896369925845,11.748339608251
"NSL28965:250031552/B47",64.1391678405686,224.20018264705,11.3521347045954
"B73:250040827/PHZ51",66.774385325141,243.141434145347,12.4032196397836
"Ames24713:250034804/B47",64.8234511749274,216.651468329421,10.8589098527707
"PI531081:250034682/B47",65.9222505348566,196.250547871354,11.9226316402706
"PI601405:250033731/B47",62.5193199971519,201.757851403623,10.3728103665408
"PI601318:250033667/B47",62.8865100632226,199.369332892512,12.129059845942
"B104:250047938/B47",66.6368883311006,202.276740292512,11.8246878278556
"Ames24704:250034761/B47",64.0766123519089,198.526369925845,10.6734129887482
"PI601322:250040790/B47",65.4537842344123,232.941572441517,12.3325440992716
"Ames20120:250031157/B47",65.0660734928648,222.517481036956,12.2919749511785
"PI601728:250035055/B47",63.9931504717212,208.562894633374,11.3912888456442
"NSL32734:250032159/B47",64.2314764185319,201.164888448067,10.6683744017944
"PI601495:250033811/B47",64.3189839769909,208.92451807029,12.3576264743683
"NSL32731:250035189/B47",63.3825504256937,207.739332892512,12.2160379056767
"PI583846:250035070/B47",64.7256652699153,216.177061295874,12.2383383700593
"NSL42872:250032843/B47",62.2302780971171,208.536868387808,10.7965490745162
"PI601774:250033402/B47",65.7519228193939,208.081555114734,13.2685476270433
"Ames28413:250033838/B47",66.9497144695789,204.988962514734,13.1075325575412
"Ames23413:250034591/B47",64.4022601136302,203.248592148067,11.0782562723956
"PI594049:250031130/B47",65.0453544770948,220.758221781401,11.190635356273
"PI539870:250031917/B47",65.6781797763529,215.011227958374,11.8807412725264
"PI550568:250032193/B47",64.2970709579589,204.758592148067,11.5829028796719
"PI587151:250031935/B47",67.3335125408729,210.526740292512,12.7242882667534
