"genotype","DTS","PH","GY"
"Z018E0078/PHZ51",71.0587735216843,249.763033740612,24.4325350457638
"Z018E0067/PHZ51",72.0510026309578,246.460036914833,22.9228242787095
"Z018E0008/PHZ51",71.5132180342526,247.263033740612,21.6480311217937
"Z018E0072/PHZ51",71.3343671667574,247.015532448778,23.3760001520552
"Mo18W/PHZ51",75.2985462437555,237.062674375843,22.2787645926927
"B73/PHZ51",68.3356575231317,246.690525530305,23.3555819715417
"Z018E0171/PHZ51",72.1813179673387,241.760805937861,21.9355717974075
"Z018E0066/PHZ51",71.3007814356467,222.960036914833,22.5008632859463
"Z018E0133/PHZ51",72.2475573576037,241.460036914833,24.1809189158653
"Z018E0042/PHZ51",72.0376395522001,245.335036914833,23.7467254137237
"Z018E0017/PHZ51",73.1100049658355,243.096367073945,23.5690198318757
"Z018E0068/PHZ51",72.4851050590505,238.960036914833,21.6388219018445
"Z018E0029/PHZ51",71.6984825925347,239.982876530454,23.8643252534622
"Z018E0143/PHZ51",74.0433417816301,241.349265749668,23.1258228542573
"Z018E0012/PHZ51",70.6513178019098,249.585036914833,23.9919545406603
"Z018E0039/PHZ51",72.099222076916,255.044997939748,23.0375570248552
"Z018E0082/PHZ51",70.4778669218241,239.585036914833,24.2221522934318
"Z018E0100/PHZ51",71.8985485477432,237.777837178239,23.6946822452242
"Z018E0057/PHZ51",71.3276388630967,246.256718449286,24.8130164578988
"Z018E0049/PHZ51",71.771345396741,240.263033740612,24.4460523378108
"Z018E0106/PHZ51",72.0716113358052,215.42647822526,22.6592076102144
"Z018E0135/PHZ51",70.8990077247802,245.210036914833,23.4620894123041
"Z018E0036/PHZ51",71.7512043439138,241.492122892525,24.2964456721528
"Z018E0003/PHZ51",70.3903201392243,224.242717913526,22.8082171402631
"Z018E0164/PHZ51",71.8773037579677,238.634980035382,24.1110519309101
"Z018E0198/PHZ51",71.1832862962725,247.561836599614,23.1231485106279
"Z018E0140/PHZ51",70.358609757651,234.085036914833,21.9443959687554
"Z018E0064/PHZ51",71.2973071325945,225.634980035382,23.1002853552648
"Z018E0175/PHZ51",71.3085828158212,241.460036914833,23.5414562621896
"Z018E0155/PHZ51",71.9033391005706,258.085036914833,22.4207628498671
"Z018E0188/PHZ51",71.6368105249719,242.585036914833,22.6530720788526
"Z018E0090/PHZ51",72.5089661093962,254.335036914833,24.0635122725272
"Z018E0145/PHZ51",70.2207678766807,234.475091652147,23.018548935447
"Z018E0023/PHZ51",70.6139185838619,233.710036914833,23.353468937959
"Z018E0099/PHZ51",71.8258395581032,231.929700407278,24.6105601430659
"Z018E0165/PHZ51",70.273253332143,238.126822778362,23.0932773619946
"Z018E0163/PHZ51",72.3848079551755,235.960036914833,23.109621514917
"Z018E0094/PHZ51",72.4852939485292,248.460036914833,23.822790671567
"Z018E0186/PHZ51",70.1184710489068,246.844997939748,24.2167609073556
"Z018E0045/PHZ51",72.1849865662138,248.835036914833,22.9288612912526
"Z018E0051/PHZ51",69.6174127436711,238.960036914833,22.801667000485
"Z018E0191/PHZ51",71.7728000890557,257.085036914833,23.7564275577224
"Z018E0184/PHZ51",72.7699689160036,250.335036914833,24.2726991469718
"Z018E0050/PHZ51",71.4448262584307,256.335036914833,22.2986899935221
"Z018E0046/PHZ51",70.9564403835758,263.244997939748,23.1045667332129
"Z018E0144/PHZ51",72.9489588720596,251.847018107702,23.258897718034
"Z018E0128/PHZ51",72.1444968306476,255.759811558593,23.1093123128143
"Z018E0199/PHZ51",72.1048760021873,237.206408606811,23.3111781002249
"Purple/PHZ51",68.0687160578366,246.280637416055,21.6647937224464
"Z022E0053/PHZ51",68.3328365000258,229.085036914833,23.2591541023337
"Z022E0081/PHZ51",67.729749236838,234.710036914833,22.626545208293
"Z022E0105/PHZ51",67.2604000406491,243.2761223139,23.0662765765722
"Z022E0029/PHZ51",67.0628322619845,243.263033740612,22.3289789911072
"Z022E0199/PHZ51",67.1198912929589,224.835036914833,22.8360410625152
"Z022E0025/PHZ51",66.6461493549798,239.835036914833,24.0248079938616
"Z022E0048/PHZ51",66.8465705638374,241.335036914833,23.5241353331334
"Z022E0113/PHZ51",66.8402494042371,238.748545236887,22.93408605563
"Oh43/PHZ51",66.8874427696649,237.572801555746,22.7423826169328
"Z022E0117/PHZ51",70.0436846272611,246.081694217633,23.936675088183
"Z022E0036/PHZ51",67.9706169267696,246.929700407278,21.9208457219607
"Z022E0186/PHZ51",68.7105368542495,231.710036914833,22.7937968390535
"Z022E0121/PHZ51",67.5010421200409,255.847550885329,23.1647525283251
"Z022E0195/PHZ51",66.9259758334794,247.748545236887,22.477687414825
"Z022E0021/PHZ51",68.2820526024096,240.335036914833,24.1338727879483
"Z022E0123/PHZ51",68.2888980603735,235.835036914833,23.320181532184
"Z022E0060/PHZ51",68.5547163305406,238.098912766032,24.3954917398498
"Z022E0190/PHZ51",68.4976140593113,261.386738664379,23.2280331396926
"Z022E0065/PHZ51",68.552716416603,254.053405331046,23.4207698788136
"Z022E0003/PHZ51",67.3831058852281,243.990408028186,22.7745361713392
"Z022E0149/PHZ51",68.6283107083209,243.960036914833,23.5925513777236
"Z022E0194/PHZ51",70.0729809584092,254.652461773627,23.6515933583761
"Z022E0192/PHZ51",68.2806282576944,244.763033740612,24.4462268823463
"Z022E0020/PHZ51",66.5579830059491,244.335036914833,23.5665781498831
"Z022E0002/PHZ51",65.8186722133465,236.263033740612,23.1436512069564
"Z022E0166/PHZ51",67.8208068956963,240.929700407278,22.4473084804913
"Z022E0057/PHZ51",69.2410543738716,238.096367073945,23.1015815037147
"Z022E0155/PHZ51",66.878210919203,246.585036914833,23.8349475702569
"Z022E0114/PHZ51",68.0468416272875,253.596367073945,23.2444713208731
"Z022E0079/PHZ51",67.5983002185247,249.210036914833,22.5240106630078
"Z022E0110/PHZ51",68.1197584425543,243.596367073945,23.9932625996225
"Z022E0154/PHZ51",NA,270.571568177219,NA
"Z022E0178/PHZ51",68.1252196838053,246.460036914833,23.1528407834925
"Z022E0120/PHZ51",68.4053196234217,241.960036914833,22.6881146427892
"Z022E0144/PHZ51",70.1604634538192,233.960036914833,23.10895588877
"Z022E0147/PHZ51",68.4444174076421,242.2761223139,23.4018036096344
"Z022E0083/PHZ51",66.5412929374876,245.096367073945,23.9360374647877
"Z022E0016/PHZ51",67.2500599405323,233.263033740612,22.9040243761606
"Z022E0188/PHZ51",67.5064493579782,239.210036914833,23.6421842931044
"Z022E0142/PHZ51",68.1964576761046,239.948545236887,23.7217308269655
"Z022E0024/PHZ51",67.2474026124177,231.929700407278,22.7927459659824
"Z022E0009/PHZ51",69.460986672943,253.429700407278,23.39204492364
"Z012E0166/PHZ51",75.511451142057,270.086439074547,21.5854145031443
"Z012E0141/PHZ51",73.2815636876637,250.09621541484,22.0037443263073
"Z012E0193/PHZ51",73.3963851055819,258.09621541484,23.1594844880655
"Z012E0072/PHZ51",74.5907026065589,267.059295652155,22.8656214465615
"Z012E0080/PHZ51",71.5771942507909,249.47121541484,23.5084711293302
"Z012E0129/PHZ51",72.3319773777499,256.34621541484,22.5816503469717
"Z012E0145/PHZ51",72.3331610208043,243.444605073954,22.5243776243903
"Z012E0120/PHZ51",74.2297707206973,258.202152795012,22.6067197843688
"Z012E0046/PHZ51",70.8234638638123,262.59621541484,23.3744266397638
"Z012E0175/PHZ51",73.2289702555326,248.22121541484,23.3466076150144
"Z012E0192/PHZ51",75.1633060192902,268.02993908235,21.4346510772135
"Z012E0186/PHZ51",72.5877758809262,251.09621541484,22.9270803897246
"Ki11/PHZ51",75.9079081117928,246.538747871612,21.1342153966605
"Z012E0194/PHZ51",70.7104631047995,250.72121541484,22.4378601378675
"Z012E0037/PHZ51",74.5344434449725,271.84621541484,22.6365491215939
"Z012E0067/PHZ51",71.5436628180052,248.34621541484,23.8278067078236
"Z012E0013/PHZ51",71.2429096589886,250.431754885337,22.7922643030279
"Z012E0132/PHZ51",74.3498658387757,266.277938407287,22.598236561463
"Z012E0114/PHZ51",70.7114725921432,261.09621541484,22.8374319148932
"Z012E0031/PHZ51",72.9141610332323,260.345009937869,22.1549325867083
"Z012E0012/PHZ51",72.4910106484379,265.97121541484,22.6879471481028
"Z012E0029/PHZ51",72.3987331093685,258.84621541484,23.5648143197035
"Z012E0006/PHZ51",74.0954942982775,247.59621541484,22.2925810082891
"Z012E0050/PHZ51",73.3542995066665,262.611271740621,23.1743245446986
"Z012E0108/PHZ51",69.6308643166196,253.076326892532,22.4971747954937
"Z012E0173/PHZ51",72.8613806287907,248.34621541484,23.2336100669541
"Z012E0052/PHZ51",73.9600661670842,251.97121541484,22.2377455782728
"Z012E0137/PHZ51",77.0871450064571,253.574612028194,21.6023329705166
"Z012E0030/PHZ51",72.9912368158147,242.34621541484,22.9979737215117
"Z012E0172/PHZ51",70.8941805730308,273.647755463961,23.9704278660952
"Z012E0199/PHZ51",75.8361223172748,266.288897742479,22.0706933367852
"Z012E0060/PHZ51",70.6889228695456,255.47121541484,23.2593787829803
"Z012E0152/PHZ51",76.7548466141802,271.962390461074,21.6459496821549
"Z012E0020/PHZ51",70.488917642305,247.84621541484,22.9188374776499
"Z012E0156/PHZ51",72.635375800521,251.596598884309,22.2369264543485
"Z012E0093/PHZ51",74.8458267983518,263.97121541484,23.0141735684379
"Z012E0146/PHZ51",72.7749957957149,252.944605073954,22.5001463919272
"Z012E0035/PHZ51",74.6624085565386,262.72121541484,23.7264558961504
"Z012E0024/PHZ51",73.2580462106362,238.777938407287,22.7013900346472
"Z012E0182/PHZ51",69.5429411871066,244.97121541484,23.9824661085366
"Z012E0047/PHZ51",70.1506281973791,250.84621541484,22.2010328578965
"Z012E0083/PHZ51",73.5164034662167,260.059295652155,23.277321667125
"Z012E0128/PHZ51",73.5440950173302,252.34621541484,22.9680373298787
"Z012E0176/PHZ51",72.1265383939528,231.59621541484,21.8770432336186
"Z012E0092/PHZ51",69.6114992757508,233.47121541484,22.9315203391823
"Z012E0149/PHZ51",70.4255033126021,249.756718449286,24.9035052451794
"Z012E0087/PHZ51",74.4628774513839,273.72121541484,22.3806942021131
"Z012E0115/PHZ51",72.1285196232637,252.59621541484,23.6661511606835
"Z012E0088/PHZ51",73.3833012777229,259.777938407287,23.421324742146
"Z012E0111/PHZ51",69.6181306443568,245.59621541484,23.1184084366399
"Z012E0090/PHZ51",69.3859015079661,240.72121541484,23.4845241641637
"Z012E0168/PHZ51",71.6060394039268,234.59621541484,23.1932107321091
"Z012E0136/PHZ51",72.1806637506478,253.59621541484,23.6114121504061
"Z001E0009/PHZ51",69.979424345063,237.561836599614,22.7121372152343
"B97/PHZ51",68.5979681133907,251.473591091513,23.5502700962375
"Z001E0076/PHZ51",68.1780881153818,259.046520223575,22.9286507164068
"Z001E0181/PHZ51",69.5252053214906,248.335036914833,23.6128462088972
"Z001E0090/PHZ51",67.9033850697764,250.962390461074,21.3145494689618
"Z001E0043/PHZ51",67.2282053520419,247.053405331046,22.4628623641517
"Z001E0121/PHZ51",68.7487097591474,252.33223450929,23.3955295855784
"Z001E0034/PHZ51",69.3515118390637,268.429700407279,22.951824686983
"Z001E0062/PHZ51",69.0228996423228,255.835036914833,23.2692141663554
"Z001E0029/PHZ51",68.0731764467875,238.133265171043,23.0138001882407
"Z001E0097/PHZ51",68.4698846189947,262.903663080718,23.0325870741606
"Z001E0093/PHZ51",67.5573834487302,251.210036914833,23.5589688429883
"Z001E0178/PHZ51",67.4074830634355,244.644997939749,22.5045206570301
"Z001E0086/PHZ51",67.8196348653693,242.224073347838,22.4304738217144
"Z001E0142/PHZ51",68.8673311715154,260.847550885328,22.8376430186881
"Z001E0145/PHZ51",69.1266306842815,259.847550885328,22.8658211308989
"Z001E0162/PHZ51",67.7888566211939,237.460036914833,22.9560477557667
"Z001E0172/PHZ51",68.2912751499517,235.585036914833,22.6949592080757
"Z001E0194/PHZ51",67.789433147764,264.462390461074,22.2760083487986
"Z001E0133/PHZ51",69.3593795460297,247.475091652147,22.2596778748935
"Z001E0151/PHZ51",68.4404928852893,255.929700407279,22.6192207281313
"Z001E0014/PHZ51",68.9481187264645,257.903663080718,22.7507559183792
"Z001E0094/PHZ51",68.406274831854,267.210036914833,23.8451991756171
"Z001E0081/PHZ51",68.3144712745384,247.460036914833,22.648866142721
"Z001E0166/PHZ51",68.4119068520067,253.189377366433,24.0400980309526
"Z001E0184/PHZ51",68.8343559916835,252.33223450929,23.6305665261721
"Z001E0075/PHZ51",68.614846382982,242.006718449285,22.8646128293566
"Z001E0170/PHZ51",70.5208450022472,252.189377366433,23.9288884833121
"Z001E0018/PHZ51",69.8557969315306,231.596367073946,22.0563222335738
"Z001E0038/PHZ51",68.4296589833048,250.565265206387,23.2727123491968
"Z001E0087/PHZ51",68.4486038438892,236.085036914833,23.1481085025193
"Z001E0068/PHZ51",68.1057320725361,253.335036914833,22.9468944552282
"Z001E0140/PHZ51",66.8569047175523,241.903663080718,22.5610814373691
"Z001E0069/PHZ51",69.3308291498395,230.763033740612,22.9468064125074
"Z001E0138/PHZ51",67.753359187408,234.096367073946,24.0898401071522
"Z001E0015/PHZ51",68.844255956973,245.085036914833,23.2403519065088
"Z001E0130/PHZ51",69.0071264381912,262.844997939749,23.4561068116155
"Z001E0126/PHZ51",69.1510874453197,245.189377366433,22.8102366737197
"Z001E0028/PHZ51",69.9677027095816,230.704693742471,23.315657666386
"Z001E0143/PHZ51",68.7894292604552,243.462390461074,24.133794259478
"Z001E0104/PHZ51",68.5239172370087,241.085036914833,23.4105686015696
"Z001E0037/PHZ51",69.344317088485,242.960036914833,23.670638025623
"Z001E0116/PHZ51",69.9890182839229,261.475091652147,23.3698500777467
"Z001E0115/PHZ51",68.3258344543438,242.763033740612,23.1567954880079
"Z001E0030/PHZ51",67.9702811602335,228.460036914833,22.2640905443098
"Z001E0080/PHZ51",69.10177637386,257.960036914833,23.4135685566693
"Z001E0167/PHZ51",68.9232290107616,238.515034415673,22.9816371197662
"Z001E0063/PHZ51",69.8128517856607,261.081694217634,23.2562272778152
"Z001E0183/PHZ51",68.3452008337045,255.348545236888,22.3478984488402
"Z001E0159/PHZ51",68.0803808070454,258.962390461074,25.1014794494704
"Z001E0020/PHZ51",69.0471961705841,238.053405331046,24.2560937531104
"Z001E0109/PHZ51",68.5763013113379,244.844997939749,23.3949535059603
"Z001E0120/PHZ51",67.2807947999243,255.835036914833,22.7239244017641
"Z001E0139/PHZ51",68.2840327041237,253.960036914833,23.1704566214054
"Z001E0088/PHZ51",68.5785484324198,277.960036914833,23.0307482885272
"Z001E0055/PHZ51",67.8687025051849,257.33223450929,22.7845031056314
"Z001E0150/PHZ51",66.9338060927324,246.631436514933,24.1420350687314
"Z001E0023/PHZ51",69.1727743888157,248.021997871028,23.1084192100512
"Z001E0157/PHZ51",68.866902960821,259.046520223575,23.082533698452
"Z016E0128/PHZ51",71.9406485222393,255.03129261773,23.1027358824072
"Z016E0136/PHZ51",68.4528273106747,239.376872855065,23.6209288234465
"Z016E0046/PHZ51",72.32523717951,274.699383884029,23.3147011818278
"Z016E0122/PHZ51",70.7599453984041,244.876872855065,24.4214094648037
"Z016E0110/PHZ51",70.9640937701916,261.40629261773,23.7798410712355
"Z016E0075/PHZ51",71.5673745093105,253.15629261773,23.9822131756994
"Z016E0010/PHZ51",72.7458008223859,264.966849463658,24.0978968082628
"Z016E0175/PHZ51",72.8234670377,260.40629261773,22.8118870633449
"Z016E0146/PHZ51",71.9595724621217,257.53129261773,23.6155785938511
"Z016E0013/PHZ51",72.8249946107674,267.712479512558,23.4637263915965
"Z016E0004/PHZ51",72.6736750980443,249.03129261773,23.8286071886485
"Z016E0067/PHZ51",70.7760105357259,236.90629261773,23.0242250950115
"Z016E0151/PHZ51",71.2821406132783,231.40629261773,23.518662637855
"M37W/PHZ51",73.9081973991425,257.438162733325,23.7621682248422
"Z016E0160/PHZ51",69.7682318732235,247.626872855065,22.7756966374926
"Z016E0041/PHZ51",73.8537531901866,266.65629261773,23.6301397886926
