Order,env_name,field,pblock,pop,entrynum,female_pedigree,range,row,rowid,rldg,sldg,tldg,DTA,DTS,PH,EH,Stand,GW_plot_lb,Moisture,GW_plot_Kg,GW_plot_Kg_15.5,Plot_Area_ha,Yield,env
1,10NC,1,18,18,78,Z018E0078,2,1,10C0001,0,0,0,,,177,99,39,10.3,11.4,4.672001411,4.898690237,0.000952074,5.145284192,1
2,10NC,1,18,18,67,Z018E0067,2,2,10C0002,0,0,0,,,169,97,40,8.6,12.7,3.900894382,4.030154788,,4.233027752,1
3,10NC,1,18,18,8,Z018E0008,2,3,10C0003,0,0,0,,,140,80,27,6.8,11.8,3.084428116,3.219485915,,3.38155082,1
4,10NC,1,18,18,72,Z018E0072,2,4,10C0004,0,0,0,,, , ,34,,,,,,,1
5,10NC,1,18,27,163,Mo18W,2,5,10C0005,0,0,0,,,,,40,9.8,15.7,4.445205226,4.43468403,,4.657920492,1
6,10NC,1,18,27,40,B73,2,6,10C0006,0,2.5,2.5,,,151,65,40,7.7,10.7,3.492661249,3.691060941,,3.876864344,1
7,10NC,1,18,27,163,Mo18W,2,7,10C0007,0,0,0,,,153,75,40,10.3,15,4.672001411,4.69964639,,4.936220726,1
8,10NC,1,18,18,171,Z018E0171,2,8,10C0008,0,0,0,,,159,85,40,10.4,11.2,4.717360648,4.957415687,,5.206965808,1
9,10NC,1,18,18,66,Z018E0066,2,9,10C0009,0,0,0,,,144,73,40,8.1,11.6,3.674098197,3.84367196,,4.037157611,1
10,10NC,1,18,18,133,Z018E0133,2,10,10C0010,0,0,0,,,143,81,40,7.9,11,3.583379723,3.774210596,,3.964199649,1
11,10NC,1,18,18,42,Z018E0042,2,11,10C0011,0,0,0,,,131,72,40,7,12.3,3.17514659,3.295388828,,3.46127459,1
12,10NC,1,18,18,17,Z018E0017,2,12,10C0012,0,0,0,,,125,65,40,7.9,12.1,3.583379723,3.727563049,,3.915203923,1
13,10NC,1,18,18,68,Z018E0068,2,13,10C0013,0,0,0,,,129,77,40,8.2,15.1,3.719457434,3.737064333,,3.92518349,1
14,10NC,1,18,18,29,Z018E0029,2,14,10C0014,0,0,0,,,156,82,40,9.1,12.7,4.127690567,4.264466112,,4.479134017,1
15,10NC,1,18,18,143,Z018E0143,2,15,10C0015,0,0,0,,,162,78,40,10.3,13.3,4.672001411,4.793639318,,5.034945141,1
16,10NC,1,18,18,12,Z018E0012,2,16,10C0016,0,0,0,,,153,104,40,9.2,14.2,4.173049804,4.23725057,,4.450548478,1
17,10NC,1,18,27,40,B73,2,17,10C0017,0,5,5,,,162,82,40,6.8,9.9,3.084428116,3.28883992,,3.454396019,1
18,10NC,1,18,18,39,Z018E0039,2,18,10C0018,0,0,0,,,194,104,40,10.1,11,4.581282937,4.825256585,,5.068153982,1
19,10NC,1,18,18,82,Z018E0082,3,18,10C0019,0,7.5,7.5,,,180,103,40,9.7,12.1,4.399845989,4.576881212,,4.807275703,1
20,10NC,1,18,27,40,B73,3,17,10C0020,0,2.5,2.5,,,175,98,40,7.4,10.2,3.356583538,3.567114813,,3.746678923,1
21,10NC,1,18,18,100,Z018E0100,3,16,10C0021,0,2.5,2.5,,,167,84,40,4.5,10.6,2.041165665,2.159529118,,,1
22,10NC,1,18,18,57,Z018E0057,3,15,10C0022,0,2.5,2.5,,,185,90,40,7.9,12,3.583379723,3.731803735,,3.91965808,1
23,10NC,1,18,27,163,Mo18W,3,14,10C0023,2.5,0,2.5,,,173,73,40,9.2,13.6,4.173049804,4.266881693,,4.481671195,1
24,10NC,1,18,18,49,Z018E0049,3,13,10C0024,0,0,0,,,170,94,40,9.1,11.3,4.127690567,4.332853885,,4.550964345,1
25,10NC,1,18,18,106,Z018E0106,3,12,10C0025,0,0,0,,,152,77,38,9.4,10.9,4.263768278,4.49587874,,4.722195668,1
26,10NC,1,18,18,135,Z018E0135,3,11,10C0026,2.5,0,2.5,,,186,86,40,8.9,12,4.036972093,4.204183955,,4.41581733,1
27,10NC,1,18,18,36,Z018E0036,3,10,10C0027,0,0,0,,,174,92,39,8.6,10.9,3.900894382,4.113250763,,4.320306675,1
28,10NC,1,18,18,3,Z018E0003,3,9,10C0028,0,0,0,,,159,69,40,8.9,11.1,4.036972093,4.247181291,,4.460979099,1
29,10NC,1,18,18,164,Z018E0164,3,8,10C0029,0,0,0,,,181,99,40,8.6,13.8,3.900894382,3.979373914,,4.179690633,1
30,10NC,1,18,18,198,Z018E0198,3,7,10C0030,2.5,0,2.5,,,176,93,40,9.1,13.2,4.127690567,4.240041908,,4.453480328,1
31,10NC,1,18,18,140,Z018E0140,3,6,10C0031,0,0,0,,,152,83,40,9.3,12.8,4.218409041,4.353198442,,4.572333021,1
32,10NC,1,18,27,40,B73,3,5,10C0032,2.5,0,2.5,,,139,77,40,7.8,10.7,3.538020486,3.738996798,,3.927213232,1
33,10NC,1,18,18,64,Z018E0064,3,4,10C0033,0,0,0,,,133,74,40,6.2,12.6,2.812272694,2.908788562,,3.055213349,1
34,10NC,1,18,18,175,Z018E0175,3,3,10C0034,0,0,0,,,149,79,30,9.6,11.3,4.354486752,4.57092278,,4.80101733,1
35,10NC,1,18,18,155,Z018E0155,3,2,10C0035,0,2.5,2.5,,,170,86,40,12.3,11.5,5.579186151,5.843289637,,6.137433548,1
36,10NC,1,18,18,188,Z018E0188,3,1,10C0036,0,2.5,2.5,,,187,90,40,7.5,11.5,3.401942775,3.562981486,,3.742337529,1
37,10NC,1,18,18,90,Z018E0090,4,1,10C0037,0,2.5,2.5,,,204,98,40,9.6,12.6,4.354486752,4.503930676,,4.730652928,1
38,10NC,1,18,18,145,Z018E0145,4,2,10C0038,0,2.5,2.5,,,163,95,40,9.6,12.3,4.354486752,4.519390392,,4.746890867,1
39,10NC,1,18,18,23,Z018E0023,4,3,10C0039,0,0,0,,,130,68,39,10.9,10.8,4.944156833,5.219157272,,5.481883138,1
40,10NC,1,18,18,99,Z018E0099,4,4,10C0040,0,0,0,,,141,76,39,10.6,13.3,4.808079122,4.93325988,,5.181594028,1
41,10NC,1,18,18,165,Z018E0165,4,5,10C0041,0,0,0,,,158,73,40,11,11.6,4.98951607,5.219801427,,5.482559719,1
42,10NC,1,18,18,163,Z018E0163,4,6,10C0042,0,0,0,,,176,81,40,9.9,11.2,4.490564463,4.719078394,,4.956630914,1
43,10NC,1,18,18,94,Z018E0094,4,7,10C0043,0,0,0,,,181,88,40,9.6,13.1,4.354486752,4.478164482,,4.703589696,1
44,10NC,1,18,18,186,Z018E0186,4,8,10C0044,0,0,0,,,174,84,40,9.5,12.3,4.309127515,4.472313409,,4.697444087,1
45,10NC,1,18,27,163,Mo18W,4,9,10C0045,0,0,0,,, , ,40,8.5,13.3,3.855535145,3.955915942,,4.155051815,1
46,10NC,1,18,18,45,Z018E0045,4,10,10C0046,0,0,0,,,181,105,40,9.7,13.8,4.399845989,4.488363601,,4.714302225,1
47,10NC,1,18,27,163,Mo18W,4,11,10C0047,0,0,0,,,165,87,40,9.5,13,4.309127515,4.436616495,,4.659950234,1
48,10NC,1,18,18,51,Z018E0051,4,12,10C0048,0,2.5,2.5,,,181,89,40,10.3,10.8,4.672001411,4.931864211,,5.180128103,1
49,10NC,1,18,18,191,Z018E0191,4,13,10C0049,0,0,0,,,193,105,40,10,11.1,4.5359237,4.77211381,,5.012336066,1
50,10NC,1,18,27,40,B73,4,14,10C0050,0,10,10,,,178,99,40,8.4,10.7,3.810175908,4.026611936,,4.229306558,1
51,10NC,1,18,18,184,Z018E0184,4,15,10C0051,0,7.894736842,7.894736842,,,202,99,38,9.2,12.1,4.173049804,4.3409595,,4.559477986,1
52,10NC,1,18,18,50,Z018E0050,4,16,10C0052,0,0,0,,,197,104,40,6.7,11.6,3.039068879,3.179333596,,3.339377284,1
53,10NC,1,18,18,46,Z018E0046,4,17,10C0053,0,0,0,,,203,115,40,8.4,11.6,3.810175908,3.986030181,,4.186681967,1
54,10NC,1,18,18,144,Z018E0144,4,18,10C0054,0,0,0,,,199,96,40,12.5,10.9,5.669904625,5.978562155,,6.279515516,1
55,10NC,1,18,18,128,Z018E0128,5,18,10C0055,0,0,0,,,220,112,40,11.9,11.8,5.397749203,5.634100352,,5.917713935,1
56,10NC,1,18,18,199,Z018E0199,5,17,10C0056,0,0,0,,,183,89,39,8.2,11.4,3.719457434,3.89992815,,4.096245668,1
57,10NC,1,18,27,1,Purple,5,16,10C0057,,,,,,202,98,,7.2,10.3,3.265865064,3.466841376,,3.641357846,1
58,10NC,1,22,22,53,Z022E0053,5,15,10C0058,0,41.17647059,41.17647059,,,179,103,34,6.9,11.3,3.129787353,3.285350748,,3.450731206,1
59,10NC,1,22,22,81,Z022E0081,5,14,10C0059,0,37.5,37.5,,,183,75,40,8.8,11,3.991612856,4.204183955,,4.41581733,1
60,10NC,1,22,22,105,Z022E0105,5,13,10C0060,0,15,15,,,201,96,40,10.6,11.2,4.808079122,5.052750604,,5.307099766,1
61,10NC,1,22,22,29,Z022E0029,5,12,10C0061,0,14.28571429,14.28571429,,,206,94,35,10.8,11.1,4.898797596,5.153882915,,5.413322951,1
62,10NC,1,22,22,199,Z022E0199,5,11,10C0062,0,27.5,27.5,,,178,83,40,7.8,11,3.538020486,3.726435778,,3.914019907,1
63,10NC,1,22,22,25,Z022E0025,5,10,10C0063,0,15,15,,,186,82,40,8.2,10.4,3.719457434,3.943945397,,4.142478689,1
64,10NC,1,22,22,48,Z022E0048,5,9,10C0064,0,0,0,,,173,89,40,8.5,10.9,3.855535145,4.065422265,,4.270070551,1
65,10NC,1,22,22,113,Z022E0113,5,8,10C0065,0,35,35,,,188,93,40,5.2,11.1,2.358680324,2.481499181,,2.606414754,1
66,10NC,1,22,27,226,Oh43,5,7,10C0066,0,52.5,52.5,,,189,90,40,7.7,10.9,3.492661249,3.682794287,,3.868181558,1
67,10NC,1,22,27,226,Oh43,5,6,10C0067,0,52.5,52.5,,,189,95,40,7.5,11.2,3.401942775,3.57505939,,3.755023419,1
68,10NC,1,22,22,117,Z022E0117,5,5,10C0068,0,2.5,2.5,,,189,94,40,9.2,10.9,4.173049804,4.400221746,,4.621723419,1
69,10NC,1,22,27,40,B73,5,4,10C0069,0,0,0,,,171,96,40,10.4,10.9,4.717360648,4.974163713,,5.224556909,1
70,10NC,1,22,22,36,Z022E0036,5,3,10C0070,0,0,0,,,195,99,40,11.1,11.7,5.034875307,5.261295735,,5.526142799,1
71,10NC,1,22,22,186,Z022E0186,5,2,10C0071,0,0,0,,,193,105,40,9,11.8,4.08233133,4.261084299,,4.475581967,1
72,10NC,1,22,22,121,Z022E0121,5,1,10C0072,0,2.5,2.5,,,214,107,40,9.6,10.3,4.354486752,4.622455168,,4.855143794,1
