line	SAM_width	SAM_height	SAM_arc.length	SAM_midpoint.width	SAM_volume	SAM_height.width.ratio
B73	147	182	212	122	5012064.663	1.26
CML277	126	90	120	107	975666.1333	0.71
MO001	151	141	175	125	2735382.75	0.94
MO003	136	128	160	121	2878579.091	0.94
MO005	141	138	169	118	2517221.25	0.99
MO007	146	105	139	118	1528833.1	0.72
MO008	143	119	153	118	1872234.086	0.83
MO009	149	122	158	130	2790756.387	0.82
MO010	133	120	152	113	1848455.598	0.91
MO011	154	141	177	132	3600404.135	0.91
MO012	136	132	163	116	2158072.625	0.99
MO013	140	130	163	124	2843729.721	0.94
MO014	141	139	170	119	2497315.583	0.99
MO015	160	169	203	133	4347939.419	1.06
MO016	154	113	150	129	1818449.308	0.72
MO017	135	126	158	116	2021873.694	0.93
MO018	143	126	161	125	2776468.41	0.89
MO019	144	153	185	127	4137347.384	1.06
MO021	145	127	158	117	2212627.315	0.88
MO022	151	147	180	126	3027608.194	0.97
MO023	135	125	155	111	1939615.586	0.93
MO024	143	141	172	118	2585585.105	0.99
MO025	144	158	190	124	3430494.958	1.11
MO026	149	133	170	132	3060242.409	0.90
MO027	145	149	182	123	3104874.444	1.04
MO028	148	132	167	126	2319306.903	0.88
MO029	150	127	163	124	2216601	0.84
MO030	144	121	153	120	1876317	0.83
MO031	127	121	150	108	1674665.389	0.97
MO032	124	117	145	104	1496512.289	0.96
MO033	156	124	160	132	2183181.941	0.78
MO034	149	154	185	119	3280495.067	1.04
MO035	133	135	165	112	2231953.548	1.03
MO038	143	123	155	118	2710240.726	0.86
MO039	129	108	137	106	1338478.321	0.85
MO040	134	128	159	113	1992630.333	0.97
MO041	138	123	155	124	2596715.04	0.89
MO042	138	119	150	122	2483179.647	0.87
MO043	135	173	201	117	4022782.357	1.31
MO044	138	122	153	113	1876824.971	0.89
MO045	141	139	170	115	2508066.452	1.00
MO046	138	119	153	120	1817200.152	0.86
MO048	145	127	162	123	2131689.828	0.89
MO051	142	121	157	121	1907636.688	0.85
MO052	149	132	166	122	2335419.258	0.90
MO054	152	144	177	124	2909959.406	0.94
MO055	148	133	167	126	2288681.103	0.90
MO056	129	118	149	115	2461992.371	0.91
MO057	137	124	156	115	1899461.622	0.92
MO058	133	116	147	114	1584499.433	0.88
MO060	145	134	165	121	2378373.576	0.92
MO061	132	147	176	112	2716806.417	1.13
MO062	133	140	170	110	2489898.467	1.08
MO066	143	141	176	123	2716696.583	1.00
MO067	146	116	150	122	1828859.204	0.79
MO068	145	121	156	127	2739099.851	0.83
MO071	151	132	164	126	3333710.489	0.87
MO074	148	161	195	126	3657993.032	1.10
MO075	130	120	150	108	1736933.043	0.93
MO076	133	132	161	112	2283002.375	1.00
MO077	140	116	150	119	1726312.75	0.83
MO079	134	120	150	111	1729740.938	0.90
MO080	144	121	157	127	2652227.688	0.85
MO081	130	122	152	113	2554568.405	0.94
MO082	134	101	133	119	1941027.999	0.76
MO083	142	143	174	125	3677527.028	1.01
MO085	143	146	178	120	3810205.379	1.03
MO086	128	110	142	116	2299019.379	0.85
MO087	141	99	133	123	1983026.214	0.70
MO088	141	118	152	124	2477909.655	0.84
MO090	150	114	149	123	2442728.796	0.77
MO092	147	138	172	124	3459310.275	0.94
MO093	141	122	157	127	2612038.113	0.86
MO096	146	129	163	127	3013551.085	0.90
MO097	140	122	155	128	2616182.721	0.88
MO099	142	126	158	123	2803944.396	0.89
MO101	143	131	163	118	3109112.264	0.91
MO106	133	121	150	120	2537978.63	0.91
MO109	132	103	134	120	1972815.706	0.78
MO110	134	150	179	118	3572052.515	1.12
MO111	131	113	141	116	2285884.391	0.86
MO113	129	131	160	109	2856708.153	1.01
MO114	133	114	146	117	2276365.144	0.87
MO115	138	133	165	123	2988833.453	0.96
MO116	126	127	159	111	2558306.714	1.01
MO118	135	128	157	117	2731892.488	0.95
MO120	137	107	141	120	2191042.964	0.79
MO121	146	121	156	130	2648676.35	0.84
MO124	148	132	168	128	3030868.837	0.89
MO125	147	135	167	128	3331344.334	0.91
MO127	131	125	156	117	2682202.319	0.95
MO132	145	137	171	126	3321307.845	0.94
MO134	136	122	156	119	2561840.348	0.90
MO138	138	129	160	118	2791725.454	0.94
MO141	143	140	170	123	3288248.343	0.98
MO142	140	120	156	122	2664971.155	0.87
MO143	150	139	176	133	3489392.151	0.93
MO145	151	112	147	130	2415822.321	0.75
MO146	139	115	150	126	2505446.504	0.82
MO147	145	135	167	128	3393540.041	0.93
MO150	133	111	130	126	2194581.147	0.84
MO151	145	131	163	126	3049106.324	0.90
MO153	136	110	141	120	2167613.869	0.81
MO154	144	119	155	124	2559404.263	0.82
MO157	134	119	150	116	2431948.266	0.89
MO159	146	130	163	126	3334350.627	0.88
MO160	139	118	151	122	2703346.692	0.85
MO161	150	140	174	127	3613989.47	0.92
MO165	145	151	184	126	4088619.839	1.04
MO167	132	105	138	115	2088315.468	0.80
MO169	147	127	159	129	2857224.377	0.86
Mo17	148	107	144	125	1682984.829	0.72
MO171	154	149	181	129	4360814.737	0.95
MO172	139	124	157	121	2642791.432	0.90
