"ref_range_id","chrom","range_start","range_end","name"
1,"1",1,34616,"FocusComplement"
2,"1",34617,40204,"FocusRegion"
3,"1",40205,41213,"FocusComplement"
4,"1",41214,46762,"FocusRegion"
5,"1",46763,108553,"FocusComplement"
6,"1",108554,114382,"FocusRegion"
7,"1",114383,188558,"FocusComplement"
8,"1",188559,189581,"FocusRegion"
9,"1",189582,190191,"FocusComplement"
10,"1",190192,198832,"FocusRegion"
11,"1",198833,200261,"FocusComplement"
12,"1",200262,203393,"FocusRegion"
13,"1",203394,206618,"FocusComplement"
14,"1",206619,209723,"FocusRegion"
15,"1",209724,246421,"FocusComplement"
16,"1",246422,247242,"FocusRegion"
17,"1",247243,315218,"FocusComplement"
18,"1",315219,315846,"FocusRegion"
19,"1",315847,328086,"FocusComplement"
20,"1",328087,328525,"FocusRegion"
21,"1",328526,550833,"FocusComplement"
22,"1",550834,564766,"FocusRegion"
23,"1",564767,679956,"FocusComplement"
24,"1",679957,708016,"FocusRegion"
25,"1",708017,1003107,"FocusComplement"
26,"1",1003108,1014318,"FocusRegion"
27,"1",1014319,1018150,"FocusComplement"
28,"1",1018151,1020839,"FocusRegion"
29,"1",1020840,1022420,"FocusComplement"
30,"1",1022421,1028066,"FocusRegion"
31,"1",1028067,1035113,"FocusComplement"
32,"1",1035114,1035395,"FocusRegion"
33,"1",1035396,1060486,"FocusComplement"
34,"1",1060487,1063436,"FocusRegion"
35,"1",1063437,1186472,"FocusComplement"
36,"1",1186473,1190677,"FocusRegion"
37,"1",1190678,1198866,"FocusComplement"
38,"1",1198867,1200495,"FocusRegion"
39,"1",1200496,1201796,"FocusComplement"
40,"1",1201797,1210068,"FocusRegion"
41,"1",1210069,1217678,"FocusComplement"
42,"1",1217679,1222212,"FocusRegion"
43,"1",1222213,1222254,"FocusComplement"
44,"1",1222255,1227093,"FocusRegion"
45,"1",1227094,1483182,"FocusComplement"
46,"1",1483183,1523873,"FocusRegion"
47,"1",1523874,1601133,"FocusComplement"
48,"1",1601134,1602423,"FocusRegion"
49,"1",1602424,1706576,"FocusComplement"
50,"1",1706577,1707999,"FocusRegion"
51,"1",1708000,1807197,"FocusComplement"
52,"1",1807198,1809676,"FocusRegion"
53,"1",1809677,1824726,"FocusComplement"
54,"1",1824727,1827696,"FocusRegion"
55,"1",1827697,1832424,"FocusComplement"
56,"1",1832425,1834566,"FocusRegion"
57,"1",1834567,1929336,"FocusComplement"
58,"1",1929337,1930319,"FocusRegion"
59,"1",1930320,1932707,"FocusComplement"
60,"1",1932708,1933552,"FocusRegion"
61,"1",1933553,2009996,"FocusComplement"
62,"1",2009997,2012354,"FocusRegion"
63,"1",2012355,2017705,"FocusComplement"
64,"1",2017706,2024879,"FocusRegion"
65,"1",2024880,2095538,"FocusComplement"
66,"1",2095539,2097445,"FocusRegion"
67,"1",2097446,2099969,"FocusComplement"
68,"1",2099970,2104244,"FocusRegion"
69,"1",2104245,2144814,"FocusComplement"
70,"1",2144815,2147163,"FocusRegion"
71,"1",2147164,2147896,"FocusComplement"
72,"1",2147897,2161903,"FocusRegion"
73,"1",2161904,2168335,"FocusComplement"
74,"1",2168336,2168653,"FocusRegion"
75,"1",2168654,2224429,"FocusComplement"
76,"1",2224430,2232174,"FocusRegion"
77,"1",2232175,2275574,"FocusComplement"
78,"1",2275575,2280181,"FocusRegion"
79,"1",2280182,2288851,"FocusComplement"
80,"1",2288852,2293806,"FocusRegion"
81,"1",2293807,2376906,"FocusComplement"
82,"1",2376907,2378815,"FocusRegion"
83,"1",2378816,2514264,"FocusComplement"
84,"1",2514265,2522242,"FocusRegion"
85,"1",2522243,2553423,"FocusComplement"
86,"1",2553424,2556496,"FocusRegion"
87,"1",2556497,2620294,"FocusComplement"
88,"1",2620295,2626950,"FocusRegion"
89,"1",2626951,2737441,"FocusComplement"
90,"1",2737442,2740118,"FocusRegion"
91,"1",2740119,2765071,"FocusComplement"
92,"1",2765072,2771704,"FocusRegion"
93,"1",2771705,2772157,"FocusComplement"
94,"1",2772158,2773573,"FocusRegion"
95,"1",2773574,2800773,"FocusComplement"
96,"1",2800774,2803236,"FocusRegion"
97,"1",2803237,2803473,"FocusComplement"
98,"1",2803474,2804769,"FocusRegion"
99,"1",2804770,2810081,"FocusComplement"
100,"1",2810082,2817677,"FocusRegion"
101,"1",2817678,2817997,"FocusComplement"
102,"1",2817998,2820996,"FocusRegion"
103,"1",2820997,2860720,"FocusComplement"
104,"1",2860721,2869355,"FocusRegion"
105,"1",2869356,2869575,"FocusComplement"
106,"1",2869576,2874482,"FocusRegion"
107,"1",2874483,2874504,"FocusComplement"
108,"1",2874505,2883698,"FocusRegion"
109,"1",2883699,2885879,"FocusComplement"
110,"1",2885880,2888772,"FocusRegion"
111,"1",2888773,2925177,"FocusComplement"
112,"1",2925178,2926144,"FocusRegion"
113,"1",2926145,2950593,"FocusComplement"
114,"1",2950594,2963259,"FocusRegion"
115,"1",2963260,2965330,"FocusComplement"
116,"1",2965331,2988230,"FocusRegion"
117,"1",2988231,2991875,"FocusComplement"
118,"1",2991876,3014032,"FocusRegion"
119,"1",3014033,3022945,"FocusComplement"
120,"1",3022946,3028004,"FocusRegion"
121,"1",3028005,3028125,"FocusComplement"
122,"1",3028126,3030012,"FocusRegion"
123,"1",3030013,3042595,"FocusComplement"
124,"1",3042596,3044181,"FocusRegion"
125,"1",3044182,3086160,"FocusComplement"
126,"1",3086161,3086776,"FocusRegion"
127,"1",3086777,3095248,"FocusComplement"
128,"1",3095249,3113958,"FocusRegion"
129,"1",3113959,3115492,"FocusComplement"
130,"1",3115493,3126872,"FocusRegion"
131,"1",3126873,3163358,"FocusComplement"
132,"1",3163359,3167829,"FocusRegion"
133,"1",3167830,3215292,"FocusComplement"
134,"1",3215293,3221599,"FocusRegion"
135,"1",3221600,3221606,"FocusComplement"
136,"1",3221607,3222938,"FocusRegion"
137,"1",3222939,3223369,"FocusComplement"
138,"1",3223370,3224844,"FocusRegion"
139,"1",3224845,3263011,"FocusComplement"
140,"1",3263012,3279756,"FocusRegion"
141,"1",3279757,3280307,"FocusComplement"
142,"1",3280308,3282259,"FocusRegion"
143,"1",3282260,3359129,"FocusComplement"
144,"1",3359130,3361295,"FocusRegion"
145,"1",3361296,3362235,"FocusComplement"
146,"1",3362236,3365818,"FocusRegion"
147,"1",3365819,3368387,"FocusComplement"
148,"1",3368388,3369418,"FocusRegion"
149,"1",3369419,3370080,"FocusComplement"
150,"1",3370081,3376586,"FocusRegion"
151,"1",3376587,3432418,"FocusComplement"
152,"1",3432419,3437323,"FocusRegion"
153,"1",3437324,3442009,"FocusComplement"
154,"1",3442010,3443345,"FocusRegion"
155,"1",3443346,3473727,"FocusComplement"
156,"1",3473728,3478290,"FocusRegion"
157,"1",3478291,3480373,"FocusComplement"
158,"1",3480374,3483331,"FocusRegion"
159,"1",3483332,3486090,"FocusComplement"
160,"1",3486091,3488116,"FocusRegion"
161,"1",3488117,3535437,"FocusComplement"
162,"1",3535438,3540435,"FocusRegion"
163,"1",3540436,3566398,"FocusComplement"
164,"1",3566399,3567033,"FocusRegion"
165,"1",3567034,3635347,"FocusComplement"
166,"1",3635348,3636570,"FocusRegion"
167,"1",3636571,3642002,"FocusComplement"
168,"1",3642003,3652191,"FocusRegion"
169,"1",3652192,3732741,"FocusComplement"
170,"1",3732742,3735652,"FocusRegion"
171,"1",3735653,3762738,"FocusComplement"
172,"1",3762739,3769278,"FocusRegion"
173,"1",3769279,3787681,"FocusComplement"
174,"1",3787682,3792482,"FocusRegion"
175,"1",3792483,3796238,"FocusComplement"
176,"1",3796239,3801321,"FocusRegion"
177,"1",3801322,3802583,"FocusComplement"
178,"1",3802584,3803735,"FocusRegion"
179,"1",3803736,3833377,"FocusComplement"
180,"1",3833378,3837494,"FocusRegion"
181,"1",3837495,3837588,"FocusComplement"
182,"1",3837589,3838704,"FocusRegion"
183,"1",3838705,3840615,"FocusComplement"
184,"1",3840616,3845721,"FocusRegion"
185,"1",3845722,3848536,"FocusComplement"
186,"1",3848537,3849489,"FocusRegion"
187,"1",3849490,3903970,"FocusComplement"
188,"1",3903971,3908178,"FocusRegion"
189,"1",3908179,3911914,"FocusComplement"
190,"1",3911915,3912600,"FocusRegion"
191,"1",3912601,3951420,"FocusComplement"
192,"1",3951421,3959705,"FocusRegion"
193,"1",3959706,3962558,"FocusComplement"
194,"1",3962559,3963285,"FocusRegion"
195,"1",3963286,3965227,"FocusComplement"
196,"1",3965228,3975390,"FocusRegion"
197,"1",3975391,4078809,"FocusComplement"
198,"1",4078810,4083607,"FocusRegion"
199,"1",4083608,4083899,"FocusComplement"
200,"1",4083900,4086535,"FocusRegion"
201,"1",4086536,4087435,"FocusComplement"
202,"1",4087436,4089632,"FocusRegion"
203,"1",4089633,4090632,"FocusComplement"
204,"1",4090633,4095211,"FocusRegion"
205,"1",4095212,4111309,"FocusComplement"
206,"1",4111310,4118908,"FocusRegion"
207,"1",4118909,4173805,"FocusComplement"
208,"1",4173806,4249156,"FocusRegion"
209,"1",4249157,4270811,"FocusComplement"
210,"1",4270812,4273294,"FocusRegion"
211,"1",4273295,4293003,"FocusComplement"
212,"1",4293004,4304802,"FocusRegion"
213,"1",4304803,4355213,"FocusComplement"
214,"1",4355214,4357396,"FocusRegion"
215,"1",4357397,4358162,"FocusComplement"
216,"1",4358163,4359539,"FocusRegion"
